TIME,DEMAND,SELLING.PRICE,BUYING.PRICE,
1,20.19,0.194,0.479,
2,19.89,0.194,0.479,
3,19.32,0.194,0.479,
4,19.35,0.194,0.479,
5,19.41,0.194,0.479,
6,19.38,0.194,0.479,
7,18.99,0.194,0.479,
8,18.96,0.194,0.479,
9,19.11,0.194,0.479,
10,19.08,0.194,0.479,
11,19.17,0.194,0.479,
12,20.07,0.194,0.479,
13,26.13,0.194,0.479,
14,28.59,0.194,0.479,
15,30.93,0.194,0.479,
16,34.53,0.194,0.479,
17,39.81,0.194,0.479,
18,46.29,0.194,0.479,
19,51.6,0.194,0.479,
20,54.15,0.194,0.479,
21,55.83,0.194,0.479,
22,57.87,0.194,0.479,
23,55.35,0.194,0.479,
24,54.9,0.194,0.479,
25,53.91,0.194,0.479,
26,54.06,0.194,0.479,
27,55.98,0.194,0.479,
28,55.95,0.194,0.479,
29,57.84,0.194,0.479,
30,57.9,0.194,0.479,
31,59.01,0.194,0.479,
32,57.84,0.194,0.479,
33,57.9,0.194,0.479,
34,55.11,0.194,0.479,
35,51.6,0.194,0.479,
36,49.02,0.194,0.479,
37,48.87,0.194,1.73,
38,47.55,0.194,1.73,
39,45.09,0.194,3.136,
40,43.83,0.194,3.136,
41,42.75,0.194,3.136,
42,40.62,0.194,3.136,
43,38.79,0.194,1.73,
44,36.27,0.194,1.73,
45,28.65,0.194,0.479,
46,24.99,0.194,0.479,
47,21.99,0.194,0.479,
48,22.02,0.194,0.479,
