TIME,DEMAND,SELLING.PRICE,BUYING.PRICE
1,16.44,0.194,0.479
2,16.41,0.194,0.479
3,16.26,0.194,0.479
4,16.26,0.194,0.479
5,16.38,0.194,0.479
6,16.17,0.194,0.479
7,16.17,0.194,0.479
8,16.38,0.194,0.479
9,16.2,0.194,0.479
10,15.99,0.194,0.479
11,16.02,0.194,0.479
12,16.44,0.194,0.479
13,16.11,0.194,0.479
14,15.72,0.194,0.479
15,14.07,0.194,0.479
16,13.71,0.194,0.479
17,13.41,0.194,0.479
18,13.65,0.194,0.479
19,13.86,0.194,0.479
20,13.77,0.194,0.479
21,13.38,0.194,0.479
22,14.25,0.194,0.479
23,13.77,0.194,0.479
24,13.8,0.194,0.479
25,13.86,0.194,0.479
26,13.89,0.194,0.479
27,13.83,0.194,0.479
28,13.86,0.194,0.479
29,14.07,0.194,0.479
30,14.19,0.194,0.479
31,14.1,0.194,0.479
32,13.92,0.194,0.479
33,13.83,0.194,0.479
34,13.77,0.194,0.479
35,14.01,0.194,0.479
36,13.95,0.194,0.479
37,13.95,0.194,0.479
38,15.12,0.194,0.479
39,15.42,0.194,0.479
40,15.66,0.194,0.479
41,15.66,0.194,0.479
42,15.69,0.194,0.479
43,15.78,0.194,0.479
44,15.66,0.194,0.479
45,15.75,0.194,0.479
46,15.63,0.194,0.479
47,15.69,0.194,0.479
48,15.81,0.194,0.479
